team_seed,team_name,R64,R32,S16,E8,F4,NCG
1,Connecticut,97.60%,91.80%,82.50%,66.40%,52.60%,35.20%
1,Purdue,96.50%,86.10%,68.90%,52.80%,31.90%,15.50%
1,Houston,96.80%,82.20%,68.70%,48.30%,27.30%,10.30%
1,North Carolina,97.30%,81.80%,61.00%,38.70%,13.70%,7.80%
2,Arizona,94.50%,78.30%,52.10%,14.20%,7.90%,3.60%
2,Iowa State,95.60%,80.30%,55.40%,23.10%,9.40%,3.50%
2,Tennessee,95.00%,78.60%,48.30%,17.10%,8.00%,3.00%
2,Marquette,94.10%,74.70%,46.20%,22.70%,6.40%,2.90%
3,Illinois,92.50%,65.40%,28.70%,7.50%,3.80%,1.80%
3,Creighton,91.90%,68.30%,32.90%,15.60%,3.70%,1.50%
3,Kentucky,92.10%,61.60%,30.90%,8.20%,3.10%,1.10%
3,Baylor,85.30%,52.10%,20.10%,6.80%,2.40%,0.90%
4,Auburn,84.90%,56.40%,14.30%,9.00%,4.00%,1.50%
4,Duke,89.60%,59.60%,20.60%,8.80%,2.10%,0.90%
4,Alabama,77.60%,51.60%,7.90%,3.80%,1.80%,0.80%
4,Kansas,88.10%,50.10%,10.10%,4.20%,1.40%,0.60%
5,Gonzaga,73.40%,38.70%,9.80%,5.10%,2.40%,0.80%
5,Wisconsin,78.40%,33.50%,8.00%,3.60%,1.30%,0.50%
5,San Diego State,56.00%,22.90%,6.10%,2.40%,0.60%,0.30%
5,Saint Mary's,72.90%,31.70%,3.80%,1.50%,0.60%,0.30%
6,Brigham Young,76.60%,36.70%,13.50%,4.00%,1.30%,0.50%
6,Clemson,65.50%,20.40%,6.80%,2.10%,0.50%,0.30%
6,Texas Tech,58.50%,23.30%,8.50%,2.00%,0.70%,0.30%
6,South Carolina,79.60%,27.90%,8.70%,1.60%,0.60%,0.30%
7,Texas,56.00%,14.50%,6.70%,2.60%,0.80%,0.40%
7,Florida,65.40%,14.40%,6.10%,1.20%,0.50%,0.30%
7,Washington State,58.20%,11.90%,4.20%,1.30%,0.50%,0.20%
7,Dayton,53.70%,10.30%,4.30%,1.30%,0.50%,0.20%
8,Mississippi State,53.50%,9.50%,5.40%,2.70%,1.40%,0.80%
8,Florida Atlantic,54.20%,7.10%,3.60%,1.50%,0.60%,0.30%
8,Nebraska,65.30%,12.30%,5.80%,2.10%,0.60%,0.30%
8,Utah State,58.00%,4.20%,2.10%,0.80%,0.30%,0.20%
9,Michigan State,46.50%,6.90%,3.30%,1.40%,0.60%,0.30%
9,Texas A&M,45.80%,5.30%,2.30%,1.00%,0.40%,0.20%
9,TCU,42.00%,3.00%,1.40%,0.60%,0.30%,0.10%
9,Northwestern,34.70%,4.70%,2.00%,0.80%,0.20%,0.10%
10,Colorado,44.00%,8.50%,2.90%,0.80%,0.30%,0.10%
10,Drake,41.80%,7.50%,2.20%,0.50%,0.20%,0.10%
10,Nevada,34.60%,5.10%,1.60%,0.40%,0.20%,0.10%
10,Colorado State,46.30%,7.60%,2.90%,0.80%,0.30%,0.10%
11,New Mexico,34.50%,8.50%,2.70%,1.00%,0.40%,0.30%
11,Oregon,41.50%,12.80%,4.20%,1.20%,0.50%,0.20%
11,North Carolina State,23.40%,6.20%,1.50%,0.40%,0.20%,0.10%
11,Duquesne,20.40%,4.30%,1.00%,0.30%,0.10%,0.10%
12,Grand Canyon,44.00%,14.50%,3.20%,1.20%,0.40%,0.20%
12,James Madison,21.60%,4.70%,1.00%,0.40%,0.20%,0.10%
12,UAB,27.10%,7.00%,0.80%,0.30%,0.10%,0.10%
12,McNeese State,26.60%,7.70%,1.10%,0.50%,0.20%,0.10%
13,Yale,15.10%,5.40%,1.10%,0.40%,0.20%,0.10%
13,Charleston,11.90%,3.40%,0.80%,0.30%,0.10%,0.10%
13,Samford,22.40%,9.70%,1.00%,0.40%,0.20%,0.10%
13,Vermont,10.40%,3.10%,0.80%,0.30%,0.10%,0.00%
14,Akron,8.10%,2.90%,0.80%,0.30%,0.10%,0.10%
14,Colgate,14.70%,5.00%,1.50%,0.40%,0.20%,0.10%
14,Morehead State,7.90%,2.40%,0.70%,0.30%,0.10%,0.10%
14,Oakland,7.50%,2.40%,0.70%,0.20%,0.10%,0.00%
15,Western Kentucky,5.00%,2.00%,1.00%,0.30%,0.20%,0.10%
15,South Dakota State,5.50%,2.20%,1.10%,0.30%,0.20%,0.10%
15,Long Beach State,5.90%,2.20%,1.00%,0.30%,0.10%,0.10%
15,St. Peter's,4.40%,1.80%,0.90%,0.30%,0.10%,0.10%
16,Longwood,3.50%,1.50%,0.90%,0.50%,0.30%,0.20%
16,Stetson,3.20%,1.40%,0.70%,0.40%,0.20%,0.10%
16,Grambling State,2.70%,1.20%,0.70%,0.40%,0.20%,0.10%
16,Wagner,2.40%,1.10%,0.60%,0.40%,0.20%,0.10%
