gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_seed,team_region,R64_picked,R32_picked,S16_picked,E8_picked,F4_picked,NCG_picked
mens,45370.7676821759,0,1,0.995022359667618,0.894013173643996,0.726081175682567,0.566815649556326,0.361232680241022,0.22541014634441,1,1,41,Connecticut,95.6,1,East,97.60%,91.80%,82.50%,66.40%,52.60%,35.20%
mens,45370.7676821759,0,1,0.991495841137237,0.854927957676133,0.661451498491826,0.448973445715138,0.280461743274507,0.147335020395629,2,1,2509,Purdue,93.5,1,Midwest,96.50%,86.10%,68.90%,52.80%,31.90%,15.50%
mens,45370.7676821759,0,1,0.966970843301729,0.723636481743549,0.509472533909059,0.35957798312528,0.195791119930264,0.0983344214155627,3,1,248,Houston,92.1,1,South,96.80%,82.20%,68.70%,48.30%,27.30%,10.30%
mens,45370.7676821759,0,1,0.986834604516543,0.664494221842326,0.406569798047035,0.192255698289819,0.0770103734520704,0.0363928015289775,4,1,153,North Carolina,90.2,1,West,97.30%,81.80%,61.00%,38.70%,13.70%,7.80%
mens,45370.7676821759,0,1,0.966489956197516,0.77496777688968,0.556992818149807,0.376667426619284,0.206219161723661,0.126444960077343,8,1,12,Arizona,91.6,2,West,94.50%,78.30%,52.10%,14.20%,7.90%,3.60%
mens,45370.7676821759,0,1,0.947485761473448,0.743849375339069,0.440353831679505,0.150147719960633,0.0805845468866569,0.0424252893503135,5,1,66,Iowa State,90.9,2,East,95.60%,80.30%,55.40%,23.10%,9.40%,3.50%
mens,45370.7676821759,0,1,0.975046614347382,0.720885267874784,0.462126485608143,0.217902339342759,0.115166814187606,0.0497461712501387,6,1,2633,Tennessee,90.6,2,Midwest,95.00%,78.60%,48.30%,17.10%,8.00%,3.00%
mens,45370.7676821759,0,1,0.842661125546709,0.484590277187661,0.289172326028145,0.129378326636608,0.0564453311984942,0.0225263763106914,7,1,269,Marquette,85.3,2,South,94.10%,74.70%,46.20%,22.70%,6.40%,2.90%
mens,45370.7676821759,0,1,0.918470632347004,0.639063647243193,0.346284526802664,0.1102579590668,0.0539379332440061,0.0258233257445395,9,1,356,Illinois,89.8,3,East,92.50%,65.40%,28.70%,7.50%,3.80%,1.80%
mens,45370.7676821759,0,1,0.851169433738497,0.63824692361495,0.321664300340075,0.137458948134576,0.0720517952811396,0.0308295587515348,10,1,156,Creighton,89.6,3,Midwest,91.90%,68.30%,32.90%,15.60%,3.70%,1.50%
mens,45370.7676821759,0,1,0.906481844784275,0.653666847856595,0.36496685378431,0.152167431689298,0.0606258844145999,0.0220683045790112,11,1,96,Kentucky,88.3,3,South,92.10%,61.60%,30.90%,8.20%,3.10%,1.10%
mens,45370.7676821759,0,1,0.886873266481312,0.573254206274048,0.233564366022967,0.122609682879671,0.0471136514501442,0.0214927662426512,12,1,239,Baylor,87.9,3,West,85.30%,52.10%,20.10%,6.80%,2.40%,0.90%
