gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot,R64_picked,R32_picked,S16_picked,E8_picked,F4_picked,NCG_picked
mens,2021-03-14,0,1.0,0.989392299821,0.909016094819,0.7318498840250001,0.559871716487,0.43340440365099997,0.281433472751,1,1,2250,Gonzaga,96.52,West,1,0,97.60%,91.80%,82.50%,66.40%,52.60%,35.20%
mens,2021-03-14,0,1.0,0.9771513721359999,0.81337448151,0.650669963764,0.44588272645800003,0.271847418262,0.149911111512,1,1,356,Illinois,93.85,Midwest,1,64,96.50%,86.10%,68.90%,52.80%,31.90%,15.50%
mens,2021-03-14,0,1.0,0.981697964462,0.718449208736,0.5681419162899999,0.405534928332,0.240603107125,0.132778454691,1,1,239,Baylor,93.64,South,1,96,96.80%,82.20%,68.70%,48.30%,27.30%,10.30%
mens,2021-03-14,0,1.0,0.9438890379260001,0.708216858962,0.49310779411399996,0.184475017429,0.11618343763599999,0.057798916276,1,1,2294,Iowa,90.81,West,2,28,94.50%,78.30%,52.10%,14.20%,7.90%,3.60%
mens,2021-03-14,0,1.0,0.963993612776,0.716903954877,0.474986771424,0.226273712969,0.117011018553,0.054783281176,1,1,248,Houston,90.55,Midwest,2,92,95.00%,78.60%,48.30%,17.10%,8.00%,3.00%
mens,2021-03-14,0,1.0,0.943777141115,0.700860345535,0.432250442509,0.188864398589,0.087215476432,0.037940211705999996,1,1,194,Ohio State,89.35,South,2,124,95.60%,80.30%,55.40%,23.10%,9.40%,3.50%
mens,2021-03-14,0,1.0,0.95193524107,0.595572422324,0.366657044669,0.205296499829,0.07371737607,0.03258761436,1,1,333,Alabama,88.84,East,2,60,94.10%,74.70%,46.20%,22.70%,6.40%,2.90%
mens,2021-03-14,0,1.0,0.963183437635,0.620822135005,0.36888792691699995,0.20252374230099998,0.071302456311,0.031013461453999996,1,1,130,Michigan,88.64,East,1,32,97.30%,81.80%,61.00%,38.70%,13.70%,7.80%
mens,2021-03-14,0,1.0,0.864190547398,0.5093151984300001,0.12988039127999998,0.069667513492,0.039454134705,0.017343206958000002,1,1,258,Virginia,88.07,West,4,12,77.60%,51.60%,7.90%,3.80%,1.80%,0.80%
mens,2021-03-14,0,1.0,0.8293238439149999,0.469730053706,0.228127413273,0.11414864601500001,0.035975975473,0.01427633737,1,1,52,Florida State,86.76,East,4,44,89.60%,59.60%,20.60%,8.80%,2.10%,0.90%
mens,2021-03-14,0,1.0,0.845872571715,0.49032438315800003,0.229879354365,0.11503987229599999,0.036086677854,0.014264168954000001,1,1,251,Texas,86.75,East,3,52,91.90%,68.30%,32.90%,15.60%,3.70%,1.50%
mens,2021-03-14,0,1.0,0.905589802902,0.496125754485,0.208216329766,0.076462406587,0.031584211116,0.011928722722,1,1,277,West Virginia,86.62,Midwest,3,84,92.10%,61.60%,30.90%,8.20%,3.10%,1.10%
mens,2021-03-14,0,1.0,0.554076105251,0.163496641323,0.105352683622,0.058943628748,0.02624261792,0.011034987915,1,1,275,Wisconsin,87.33,South,9,102,46.50%,6.90%,3.30%,1.40%,0.60%,0.30%
mens,2021-03-14,0,1.0,0.8187083528319999,0.413032017961,0.09609922678300001,0.048695865935000006,0.026251707248999997,0.010918739258999999,1,1,156,Creighton,87.0,West,5,8,72.90%,31.70%,3.80%,1.50%,0.60%,0.30%
mens,2021-03-14,0,1.0,0.8109344099950001,0.500530001772,0.14660054303099998,0.073241734231,0.028835675778999998,0.010824914755,1,1,2509,Purdue,86.47,South,4,108,88.10%,50.10%,10.10%,4.20%,1.40%,0.60%
mens,2021-03-14,0,1.0,0.670883201869,0.381440279863,0.185104855141,0.069451181985,0.028055418912999997,0.010784036878,1,1,2641,Texas Tech,86.44,South,6,112,76.60%,36.70%,13.50%,4.00%,1.30%,0.50%
mens,2021-03-14,0,1.0,0.762796671747,0.40366006205300003,0.19093900913800002,0.069694404055,0.027479435373999998,0.010329730505,1,1,8,Arkansas,86.27,South,3,116,85.30%,52.10%,20.10%,6.80%,2.40%,0.90%
mens,2021-03-14,0,1.0,0.695153052533,0.369625858593,0.17417919321800002,0.084880382181,0.025942900704000002,0.010034235425,1,1,38,Colorado,86.03,East,5,40,56.00%,22.90%,6.10%,2.40%,0.60%,0.30%
mens,2021-03-14,0,1.0,0.728453549479,0.47260654672200003,0.18226300389199998,0.045746222411,0.022428069467000003,0.008409230786,1,1,30,Southern California,85.76,West,6,16,79.60%,27.90%,8.70%,1.60%,0.60%,0.30%
mens,2021-03-14,0,1.0,0.78639319573,0.35318162421899996,0.146685827861,0.039908155784,0.020645248523,0.008205141156999999,1,1,2305,Kansas,83.5,West,3,20,92.50%,65.40%,28.70%,7.50%,3.80%,1.80%
mens,2021-03-14,0,1.0,0.7444093923999999,0.44207674205799996,0.122951193774,0.055379924592,0.021944303826000003,0.007969809274000001,1,1,2633,Tennessee,85.79,Midwest,5,72,78.40%,33.50%,8.00%,3.60%,1.30%,0.50%
mens,2021-03-14,0,1.0,0.609416886827,0.318176162815,0.130238725454,0.046698727162,0.01889269114,0.006996892659,1,1,21,San Diego State,85.6,Midwest,6,80,58.50%,23.30%,8.50%,2.00%,0.70%,0.30%
mens,2021-03-14,0,1.0,0.539299600897,0.222329020929,0.117157506582,0.056043373517000006,0.01668372772,0.0063119803200000005,1,1,41,Connecticut,85.26,East,7,56,56.00%,14.50%,6.70%,2.60%,0.80%,0.40%
mens,2021-03-14,0,1.0,0.445923894749,0.116758641195,0.070998831047,0.037246622713,0.015454215673,0.006088609528,1,1,153,North Carolina,86.09,South,8,100,53.50%,9.50%,5.40%,2.70%,1.40%,0.80%
mens,2021-03-14,0,1.0,0.5950850678399999,0.23994046955899997,0.120806818979,0.056289410379999995,0.016343636047,0.006054798070000001,1,1,99,Louisiana State,85.07,East,8,36,65.30%,12.30%,5.80%,2.10%,0.60%,0.30%
mens,2021-03-14,0,1.0,0.800147850466,0.40696807035899996,0.102305517597,0.042788410527,0.015779837107,0.005357637881999999,1,1,197,Oklahoma State,84.89,Midwest,4,76,84.90%,56.40%,14.30%,9.00%,4.00%,1.50%
mens,2021-03-14,0,1.0,0.7523234433470001,0.36491753602,0.091413383912,0.041122777576000004,0.014499158679,0.00491908867,1,1,222,Villanova,84.75,South,5,104,73.40%,38.70%,9.80%,5.10%,2.40%,0.80%
mens,2021-03-14,0,1.0,0.540795588179,0.262143600267,0.108652447683,0.048987547208000005,0.013634083373,0.004873687464,1,1,252,Brigham Young,84.53,East,6,48,65.50%,20.40%,6.80%,2.10%,0.50%,0.30%
mens,2021-03-14,0,1.0,0.7150250665800001,0.149492068116,0.083505713837,0.036251965755,0.013859747331,0.004867270945,1,1,2350,Loyola (IL),85.09,Midwest,8,68,54.20%,7.10%,3.60%,1.50%,0.60%,0.30%
