team_seed,team_name,R64,R32,S16,E8,F4,NCG
10,Maryland,44.00%,8.50%,2.90%,0.80%,0.30%,0.10%
10,Rutgers,41.80%,7.50%,2.20%,0.50%,0.20%,0.10%
10,VCU,34.60%,5.10%,1.60%,0.40%,0.20%,0.10%
10,Virginia Tech,46.30%,7.60%,2.90%,0.80%,0.30%,0.10%
11,MSU,34.50%,8.50%,2.70%,1.00%,0.40%,0.30%
11,Syracuse,41.50%,12.80%,4.20%,1.20%,0.50%,0.20%
11,Utah State,23.40%,6.20%,1.50%,0.40%,0.20%,0.10%
11,DRKE,20.40%,4.30%,1.00%,0.30%,0.10%,0.10%
12,Georgetown,44.00%,14.50%,3.20%,1.20%,0.40%,0.20%
12,Oregon State,21.60%,4.70%,1.00%,0.40%,0.20%,0.10%
12,UCSB,27.10%,7.00%,0.80%,0.30%,0.10%,0.10%
12,Winthrop,26.60%,7.70%,1.10%,0.50%,0.20%,0.10%
13,Liberty,15.10%,5.40%,1.10%,0.40%,0.20%,0.10%
13,North Texas,11.90%,3.40%,0.80%,0.30%,0.10%,0.10%
13,Ohio,22.40%,9.70%,1.00%,0.40%,0.20%,0.10%
13,UNC Greensboro,10.40%,3.10%,0.80%,0.30%,0.10%,0.00%
14,Abil Christian,8.10%,2.90%,0.80%,0.30%,0.10%,0.10%
14,Colgate,14.70%,5.00%,1.50%,0.40%,0.20%,0.10%
14,E Washington,7.50%,2.40%,0.70%,0.20%,0.10%,0.00%
14,Morehead State,7.90%,2.40%,0.70%,0.30%,0.10%,0.10%
15,Cleveland State,5.00%,2.00%,1.00%,0.30%,0.20%,0.10%
15,Grand Canyon,5.50%,2.20%,1.10%,0.30%,0.20%,0.10%
15,Iona,5.90%,2.20%,1.00%,0.30%,0.10%,0.10%
15,Oral Roberts,4.40%,1.80%,0.90%,0.30%,0.10%,0.10%
16,Drexel,3.50%,1.50%,0.90%,0.50%,0.30%,0.20%
16,Hartford,3.20%,1.40%,0.70%,0.40%,0.20%,0.10%
16,MSM,2.70%,1.20%,0.70%,0.40%,0.20%,0.10%
16,APP,2.40%,1.10%,0.60%,0.40%,0.20%,0.10%
1,Baylor,96.80%,82.20%,68.70%,48.30%,27.30%,10.30%
1,Gonzaga,97.60%,91.80%,82.50%,66.40%,52.60%,35.20%
1,Illinois,96.50%,86.10%,68.90%,52.80%,31.90%,15.50%
1,Michigan,97.30%,81.80%,61.00%,38.70%,13.70%,7.80%
2,Alabama,94.10%,74.70%,46.20%,22.70%,6.40%,2.90%
2,Houston,95.00%,78.60%,48.30%,17.10%,8.00%,3.00%
2,Iowa,94.50%,78.30%,52.10%,14.20%,7.90%,3.60%
2,Ohio State,95.60%,80.30%,55.40%,23.10%,9.40%,3.50%
3,Arkansas,85.30%,52.10%,20.10%,6.80%,2.40%,0.90%
3,Kansas,92.50%,65.40%,28.70%,7.50%,3.80%,1.80%
3,Texas,91.90%,68.30%,32.90%,15.60%,3.70%,1.50%
3,West Virginia,92.10%,61.60%,30.90%,8.20%,3.10%,1.10%
4,Florida State,89.60%,59.60%,20.60%,8.80%,2.10%,0.90%
4,Oklahoma State,84.90%,56.40%,14.30%,9.00%,4.00%,1.50%
4,Purdue,88.10%,50.10%,10.10%,4.20%,1.40%,0.60%
4,Virginia,77.60%,51.60%,7.90%,3.80%,1.80%,0.80%
5,Colorado,56.00%,22.90%,6.10%,2.40%,0.60%,0.30%
5,Creighton,72.90%,31.70%,3.80%,1.50%,0.60%,0.30%
5,Tennessee,78.40%,33.50%,8.00%,3.60%,1.30%,0.50%
5,Villanova,73.40%,38.70%,9.80%,5.10%,2.40%,0.80%
6,BYU,65.50%,20.40%,6.80%,2.10%,0.50%,0.30%
6,San Diego State,58.50%,23.30%,8.50%,2.00%,0.70%,0.30%
6,Texas Tech,76.60%,36.70%,13.50%,4.00%,1.30%,0.50%
6,USC,79.60%,27.90%,8.70%,1.60%,0.60%,0.30%
7,Clemson,58.20%,11.90%,4.20%,1.30%,0.50%,0.20%
7,Florida,53.70%,10.30%,4.30%,1.30%,0.50%,0.20%
7,Oregon,65.40%,14.40%,6.10%,1.20%,0.50%,0.30%
7,UConn,56.00%,14.50%,6.70%,2.60%,0.80%,0.40%
8,Loyola Chicago,54.20%,7.10%,3.60%,1.50%,0.60%,0.30%
8,LSU,65.30%,12.30%,5.80%,2.10%,0.60%,0.30%
8,North Carolina,53.50%,9.50%,5.40%,2.70%,1.40%,0.80%
8,Oklahoma,58.00%,4.20%,2.10%,0.80%,0.30%,0.20%
9,Georgia Tech,45.80%,5.30%,2.30%,1.00%,0.40%,0.20%
9,Missouri,42.00%,3.00%,1.40%,0.60%,0.30%,0.10%
9,St. Bonaventure,34.70%,4.70%,2.00%,0.80%,0.20%,0.10%
9,Wisconsin,46.50%,6.90%,3.30%,1.40%,0.60%,0.30%
